,student label,score,coast,game scheduled,percent_training_seshes,fitness_score,extra_strategy_sessions_attended,hours_of_sleep,early bird/night owl,previous competitive sports,meals,university year
482,483,51.74,west coast,evening,0.3,0.6900000000000001,4,5,night owl,basketball,3,sophomore
482,483,46.7,west coast,noon,0.4,1.0,4,3,night owl,basketball,3,sophomore
482,483,49.19,west coast,noon,0.37,1.0,6,4,night owl,basketball,3,sophomore
482,483,42.82,west coast,noon,0.32,0.92,5,4,night owl,basketball,3,sophomore
482,483,45.59,west coast,noon,0.46,0.9,5,4,night owl,basketball,3,sophomore
482,483,14.77,west coast,noon,0.0,0.93,5,4,night owl,basketball,3,sophomore
482,483,25.16,west coast,evening,0.0,0.9,3,3,night owl,basketball,3,sophomore
482,483,19.3,west coast,noon,0.09,1.0,2,4,night owl,basketball,3,sophomore
482,483,24.43,west coast,evening,0.0,0.89,2,4,night owl,basketball,3,sophomore
482,483,43.82,west coast,evening,0.1,1.0,2,5,night owl,basketball,3,sophomore
