,student label,score,coast,game scheduled,percent_training_seshes,fitness_score,extra_strategy_sessions_attended,hours_of_sleep,early bird/night owl,previous competitive sports,meals,university year
897,898,54.46,west coast,evening,0.8,0.64,5,7,night owl,football,5,junior
897,898,62.67,west coast,noon,0.96,1.0,4,6,night owl,football,5,junior
897,898,57.61,west coast,noon,1.0,0.9,5,7,night owl,football,5,junior
897,898,64.78,west coast,noon,1.0,0.98,6,8,night owl,football,5,junior
897,898,71.10000000000001,west coast,noon,0.92,1.0,7,8,night owl,football,5,junior
897,898,60.57,west coast,noon,0.65,0.96,8,8,night owl,football,5,junior
897,898,67.03,west coast,noon,0.75,1.0,8,9,night owl,football,5,junior
897,898,79.72,west coast,morning,1.0,1.0,9,11,night owl,football,5,junior
897,898,74.75,west coast,noon,0.93,1.0,9,11,night owl,football,5,junior
897,898,71.25,west coast,noon,0.81,1.0,8,11,night owl,football,5,junior
