,student label,score,coast,game scheduled,percent_training_seshes,fitness_score,extra_strategy_sessions_attended,hours_of_sleep,early bird/night owl,previous competitive sports,meals,university year
287,288,46.6,west coast,evening,0.47,0.75,2,2,night owl,table tennis,4,junior
287,288,40.14,west coast,evening,0.5,0.77,3,2,night owl,table tennis,4,junior
287,288,47.86,west coast,evening,0.43,0.94,3,3,night owl,table tennis,4,junior
287,288,47.71,west coast,evening,0.55,0.84,2,3,night owl,table tennis,4,junior
287,288,51.53,west coast,morning,0.78,0.62,2,3,night owl,table tennis,4,junior
287,288,25.59,west coast,noon,0.43,0.56,3,3,night owl,table tennis,4,junior
287,288,21.12,west coast,noon,1.0,0.21,0,2,night owl,table tennis,4,junior
287,288,20.07,west coast,noon,1.0,0.31,0,1,night owl,table tennis,4,junior
287,288,42.41,west coast,noon,0.97,0.66,0,1,night owl,table tennis,4,junior
287,288,34.46,west coast,evening,1.0,0.55,0,0,night owl,table tennis,4,junior
