,student label,score,coast,game scheduled,percent_training_seshes,fitness_score,extra_strategy_sessions_attended,hours_of_sleep,early bird/night owl,previous competitive sports,meals,university year
710,711,0.0,west coast,evening,0.0,0.08,0,1,night owl,baseball,3,sophomore
710,711,0.0,west coast,evening,0.08,0.0,0,0,night owl,baseball,3,sophomore
710,711,0.0,west coast,noon,0.0,0.0,0,0,night owl,baseball,3,sophomore
710,711,27.7,west coast,noon,0.12,0.07,1,0,night owl,baseball,3,sophomore
710,711,27.83,west coast,evening,0.0,0.06,2,0,night owl,baseball,3,sophomore
710,711,0.0,west coast,noon,0.0,0.0,0,1,night owl,baseball,3,sophomore
710,711,0.0,west coast,noon,0.0,0.0,1,2,night owl,baseball,3,sophomore
710,711,0.0,west coast,noon,0.12,0.01,2,2,night owl,baseball,3,sophomore
710,711,84.73,west coast,noon,0.08,0.0,1,0,night owl,baseball,3,sophomore
710,711,40.99,west coast,noon,0.0,0.18,3,0,night owl,baseball,3,sophomore
