,student label,score,coast,game scheduled,percent_training_seshes,fitness_score,extra_strategy_sessions_attended,hours_of_sleep,early bird/night owl,previous competitive sports,meals,university year
802,803,46.68,west coast,noon,0.8300000000000001,0.46,8,7,night owl,curling,6,sophomore
802,803,32.24,west coast,noon,0.8300000000000001,0.51,8,8,night owl,curling,6,sophomore
802,803,53.22,west coast,evening,0.71,0.64,9,11,night owl,curling,6,sophomore
802,803,51.75,west coast,noon,0.86,0.12,10,10,night owl,curling,6,sophomore
802,803,38.31,west coast,noon,0.94,0.27,9,9,night owl,curling,6,sophomore
802,803,45.29,west coast,noon,0.92,0.0,9,8,night owl,curling,6,sophomore
802,803,55.14,west coast,noon,0.68,0.0,10,9,night owl,curling,6,sophomore
802,803,36.41,west coast,noon,0.67,0.0,9,10,night owl,curling,6,sophomore
802,803,24.52,west coast,noon,0.13,0.01,10,10,night owl,curling,6,sophomore
802,803,32.12,west coast,noon,0.11,0.0,10,11,night owl,curling,6,sophomore
