,student label,score,coast,game_scheduled,percent_training_seshes,fitness_score,extra_strategy_sessions_attended,hours_of_sleep,early_late,previous_sport,meals,university_year
168,169,19.99,east coast,evening,0.15,0.25,3,5,early bird,gymnastics,3,senior
168,169,35.93,east coast,noon,0.24,0.0,3,5,early bird,gymnastics,3,senior
168,169,38.75,east coast,noon,0.8200000000000001,0.0,2,4,early bird,gymnastics,3,senior
168,169,25.97,east coast,noon,0.62,0.0,3,5,early bird,gymnastics,3,senior
168,169,0.0,east coast,noon,0.42,0.0,3,6,early bird,gymnastics,3,senior
168,169,13.9,west coast,noon,0.33,0.0,3,5,early bird,gymnastics,3,senior
168,169,23.13,west coast,noon,0.97,0.12,2,7,early bird,gymnastics,3,senior
168,169,42.36,west coast,noon,0.98,0.0,3,6,early bird,gymnastics,3,senior
168,169,25.27,west coast,noon,1.0,0.01,4,7,early bird,gymnastics,3,senior
168,169,37.68,west coast,noon,0.98,0.0,4,8,early bird,gymnastics,3,senior
