,student label,score,coast,game_scheduled,percent_training_seshes,fitness_score,extra_strategy_sessions_attended,hours_of_sleep,early_late,previous_sport,meals,university_year
442,443,42.64,west coast,evening,0.32,0.22,3,6,night owl,baseball,5,frosh
442,443,37.39,west coast,evening,0.56,0.07,6,6,night owl,baseball,5,frosh
442,443,23.04,west coast,noon,0.37,0.0,8,5,night owl,baseball,5,frosh
442,443,29.01,west coast,noon,0.63,0.11,8,6,night owl,baseball,5,frosh
442,443,33.2,west coast,morning,0.22,0.19,9,6,night owl,baseball,5,frosh
442,443,47.0,west coast,noon,0.56,0.27,10,5,night owl,baseball,5,frosh
442,443,39.47,west coast,noon,0.49,0.0,10,5,night owl,baseball,5,frosh
442,443,43.92,west coast,evening,0.65,0.0,9,4,night owl,baseball,5,frosh
442,443,41.32,west coast,noon,0.17,0.19,9,4,night owl,baseball,5,frosh
442,443,19.7,west coast,noon,0.0,0.0,9,2,night owl,baseball,5,frosh
