,student label,score,coast,game scheduled,percent_training_seshes,fitness_score,extra_strategy_sessions_attended,hours_of_sleep,early bird/night owl,previous competitive sports,meals,university year
981,982,44.08,west coast,evening,0.61,0.77,6,11,night owl,table tennis,4,senior
981,982,55.49,west coast,noon,1.0,0.59,7,10,night owl,table tennis,4,senior
981,982,38.63,west coast,noon,0.95,0.24,7,8,night owl,table tennis,4,senior
981,982,35.300000000000004,west coast,noon,1.0,0.14,7,9,night owl,table tennis,4,senior
981,982,46.88,west coast,evening,0.91,0.0,7,8,night owl,table tennis,4,senior
981,982,54.42,west coast,evening,1.0,0.11,7,9,night owl,table tennis,4,senior
981,982,51.46,west coast,noon,0.94,0.28,9,9,night owl,table tennis,4,senior
981,982,63.93,west coast,noon,1.0,0.78,10,10,night owl,table tennis,4,senior
981,982,67.85,west coast,evening,0.92,0.66,10,9,night owl,table tennis,4,senior
981,982,59.57,west coast,noon,0.88,0.5,10,8,night owl,table tennis,4,senior
