,student label,score,coast,game_scheduled,percent_training_seshes,fitness_score,extra_strategy_sessions_attended,hours_of_sleep,early_late,previous_sport,meals,university_year
39,40,26.54,east coast,noon,0.11,0.28,1,4,night owl,martial arts,4,sophomore
39,40,36.57,east coast,noon,0.15,0.68,1,4,night owl,martial arts,4,sophomore
39,40,35.35,east coast,noon,0.11,0.97,1,6,night owl,martial arts,4,sophomore
39,40,34.02,east coast,evening,0.3,0.85,1,7,night owl,martial arts,4,sophomore
39,40,40.8,east coast,noon,0.77,0.73,1,8,night owl,martial arts,4,sophomore
39,40,52.42,west coast,evening,0.74,0.62,0,7,night owl,martial arts,4,sophomore
39,40,38.07,west coast,morning,1.0,0.42,1,7,night owl,martial arts,4,sophomore
39,40,40.01,west coast,noon,1.0,0.44,1,6,night owl,martial arts,4,sophomore
39,40,70.32000000000001,west coast,evening,1.0,0.87,0,6,night owl,martial arts,4,sophomore
39,40,79.47,west coast,evening,1.0,0.98,0,4,night owl,martial arts,4,sophomore
