,student label,game score,coast,game scheduled,percent training sessions attended,overall fitness score,# extra strategy sessions attended,hours of sleep the night before game,early bird/night owl,previous competitive sports,# meals on day prior to game,university year
438,439,82.19,west coast,evening,0.93,0.98,9,11,night owl,frisbee,2,senior
438,439,83.17,west coast,evening,0.85,0.96,9,11,night owl,frisbee,2,senior
438,439,79.74,west coast,morning,0.8300000000000001,1.0,9,12,night owl,frisbee,2,senior
438,439,67.05,west coast,noon,1.0,0.88,7,12,night owl,frisbee,2,senior
438,439,67.99,west coast,noon,1.0,0.8300000000000001,8,12,night owl,frisbee,2,senior
438,439,64.01,west coast,noon,1.0,0.8300000000000001,8,12,night owl,frisbee,2,senior
438,439,65.48,west coast,noon,0.95,0.5700000000000001,7,11,night owl,frisbee,2,senior
438,439,57.76,west coast,evening,1.0,0.0,7,10,night owl,frisbee,2,senior
438,439,47.39,west coast,noon,0.88,0.04,7,9,night owl,frisbee,2,senior
438,439,52.07,west coast,noon,0.92,0.03,9,8,night owl,frisbee,2,senior
