,student label,score,coast,game scheduled,percent_training_seshes,fitness_score,extra_strategy_sessions_attended,hours_of_sleep,early bird/night owl,previous competitive sports,meals,university year
931,932,59.21,west coast,evening,0.96,0.86,7,11,night owl,curling,8,sophomore
931,932,53.24,west coast,noon,0.95,0.85,5,11,night owl,curling,8,sophomore
931,932,41.92,west coast,noon,1.0,0.46,6,11,night owl,curling,8,sophomore
931,932,44.19,west coast,noon,0.9,0.59,6,10,night owl,curling,8,sophomore
931,932,31.11,west coast,noon,0.78,0.49,6,11,night owl,curling,8,sophomore
931,932,37.56,west coast,noon,0.87,0.68,7,11,night owl,curling,8,sophomore
931,932,57.120000000000005,west coast,noon,0.8300000000000001,0.84,8,10,night owl,curling,8,sophomore
931,932,25.04,west coast,noon,0.53,0.51,7,10,night owl,curling,8,sophomore
931,932,17.26,west coast,noon,1.0,0.16,8,11,night owl,curling,8,sophomore
931,932,28.33,west coast,noon,0.85,0.04,9,11,night owl,curling,8,sophomore
