,student label,score,coast,game_scheduled,percent_training_seshes,fitness_score,extra_strategy_sessions_attended,hours_of_sleep,early_late,previous_sport,meals,university_year
823,824,68.64,west coast,morning,0.88,0.96,6,10,night owl,martial arts,6,sophomore
823,824,68.0,west coast,morning,0.8200000000000001,1.0,7,10,night owl,martial arts,6,sophomore
823,824,74.49,west coast,noon,0.97,1.0,5,10,night owl,martial arts,6,sophomore
823,824,70.91,west coast,noon,0.95,1.0,2,10,night owl,martial arts,6,sophomore
823,824,65.59,west coast,noon,0.8300000000000001,1.0,2,10,night owl,martial arts,6,sophomore
823,824,69.11,west coast,noon,0.84,1.0,2,11,night owl,martial arts,6,sophomore
823,824,72.07000000000001,west coast,noon,1.0,1.0,1,11,night owl,martial arts,6,sophomore
823,824,67.76,west coast,noon,0.96,0.98,1,12,night owl,martial arts,6,sophomore
823,824,64.33,west coast,morning,0.91,0.99,1,12,night owl,martial arts,6,sophomore
823,824,65.97,west coast,noon,1.0,1.0,2,10,night owl,martial arts,6,sophomore
