,student label,score,coast,game_scheduled,percent_training_seshes,fitness_score,extra_strategy_sessions_attended,hours_of_sleep,early_late,previous_sport,meals,university_year
360,361,29.46,west coast,evening,0.41,0.28,7,9,night owl,frisbee,3,frosh
360,361,72.77,west coast,noon,0.95,0.86,9,9,night owl,frisbee,3,frosh
360,361,56.41,west coast,noon,0.6,0.84,9,9,night owl,frisbee,3,frosh
360,361,49.59,west coast,noon,1.0,0.41,8,10,night owl,frisbee,3,frosh
360,361,60.51,west coast,morning,0.92,0.78,8,10,night owl,frisbee,3,frosh
360,361,89.37,west coast,evening,0.87,1.0,8,11,night owl,frisbee,3,frosh
360,361,76.63,west coast,noon,1.0,0.96,8,10,night owl,frisbee,3,frosh
360,361,89.87,west coast,evening,1.0,1.0,7,11,night owl,frisbee,3,frosh
360,361,84.29,west coast,evening,0.91,1.0,6,10,night owl,frisbee,3,frosh
360,361,82.58,west coast,noon,0.94,1.0,7,10,night owl,frisbee,3,frosh
