,student label,score,coast,game_scheduled,percent_training_seshes,fitness_score,extra_strategy_sessions_attended,hours_of_sleep,early_late,previous_sport,meals,university_year
900,901,59.54,west coast,evening,0.88,0.48,10,4,night owl,curling,3,junior
900,901,52.4,west coast,evening,0.58,0.47,10,4,night owl,curling,3,junior
900,901,42.71,west coast,noon,0.51,0.49,10,5,night owl,curling,3,junior
900,901,47.29,west coast,noon,0.51,0.25,9,5,night owl,curling,3,junior
900,901,37.8,west coast,noon,0.34,0.0,9,6,night owl,curling,3,junior
900,901,47.01,west coast,evening,0.24,0.03,9,7,night owl,curling,3,junior
900,901,34.63,west coast,evening,0.51,0.23,9,6,night owl,curling,3,junior
900,901,34.82,west coast,noon,0.42,0.0,10,6,night owl,curling,3,junior
900,901,39.36,west coast,noon,0.0,0.0,10,7,night owl,curling,3,junior
900,901,17.98,west coast,noon,0.0,0.11,10,9,night owl,curling,3,junior
