,student label,game score,coast,game scheduled,percent training sessions attended,overall fitness score,# extra strategy sessions attended,hours of sleep the night before game,early bird/night owl,previous competitive sports,# meals on day prior to game,university year
997,998,69.64,west coast,noon,0.74,1.0,6,10,night owl,basketball,3,senior
997,998,81.29,west coast,noon,1.0,1.0,7,10,night owl,basketball,3,senior
997,998,74.25,west coast,noon,0.95,0.9,8,9,night owl,basketball,3,senior
997,998,80.0,west coast,noon,1.0,1.0,8,9,night owl,basketball,3,senior
997,998,85.49,west coast,noon,0.95,1.0,9,9,night owl,basketball,3,senior
997,998,78.03,west coast,noon,0.75,1.0,9,9,night owl,basketball,3,senior
997,998,60.09,west coast,noon,0.72,0.84,7,8,night owl,basketball,3,senior
997,998,47.71,west coast,noon,0.09,0.87,7,9,night owl,basketball,3,senior
997,998,34.83,west coast,noon,0.12,0.8200000000000001,6,9,night owl,basketball,3,senior
997,998,25.2,west coast,noon,0.12,0.7000000000000001,7,11,night owl,basketball,3,senior
