,student label,score,coast,game scheduled,percent_training_seshes,fitness_score,extra_strategy_sessions_attended,hours_of_sleep,early bird/night owl,previous competitive sports,meals,university year
444,445,33.09,west coast,evening,0.49,0.35,7,3,early bird,table tennis,3,sophomore
444,445,37.56,west coast,evening,0.54,0.5,7,3,early bird,table tennis,3,sophomore
444,445,47.12,west coast,noon,1.0,0.43,7,2,early bird,table tennis,3,sophomore
444,445,37.01,west coast,noon,1.0,0.31,8,2,early bird,table tennis,3,sophomore
444,445,41.75,west coast,morning,0.93,0.0,9,4,early bird,table tennis,3,sophomore
444,445,40.41,west coast,noon,0.92,0.0,8,3,early bird,table tennis,3,sophomore
444,445,22.42,west coast,noon,1.0,0.03,6,1,early bird,table tennis,3,sophomore
444,445,25.98,west coast,evening,1.0,0.09,5,2,early bird,table tennis,3,sophomore
444,445,48.9,west coast,noon,1.0,0.07,5,3,early bird,table tennis,3,sophomore
444,445,36.67,west coast,noon,1.0,0.25,6,3,early bird,table tennis,3,sophomore
