,student label,game score,coast,game scheduled,percent training sessions attended,overall fitness score,# extra strategy sessions attended,hours of sleep the night before game,early bird/night owl,previous competitive sports,# meals on day prior to game,university year
349,350,26.16,west coast,evening,0.3,0.11,4,3,night owl,baseball,4,sophomore
349,350,20.34,west coast,noon,0.35,0.0,4,3,night owl,baseball,4,sophomore
349,350,18.94,west coast,noon,0.52,0.0,3,5,night owl,baseball,4,sophomore
349,350,41.06,west coast,evening,0.71,0.0,5,6,night owl,baseball,4,sophomore
349,350,13.8,west coast,noon,1.0,0.0,6,6,night owl,baseball,4,sophomore
349,350,15.65,west coast,noon,1.0,0.0,5,5,night owl,baseball,4,sophomore
349,350,28.34,west coast,noon,0.91,0.18,4,4,night owl,baseball,4,sophomore
349,350,45.34,west coast,evening,0.78,0.18,4,5,night owl,baseball,4,sophomore
349,350,26.53,west coast,noon,1.0,0.1,3,6,night owl,baseball,4,sophomore
349,350,45.63,west coast,noon,1.0,0.4,3,6,night owl,baseball,4,sophomore
