,student label,score,coast,game scheduled,percent_training_seshes,fitness_score,extra_strategy_sessions_attended,hours_of_sleep,early bird/night owl,previous competitive sports,meals,university year
425,426,57.86,west coast,evening,0.76,0.71,5,5,night owl,table tennis,4,senior
425,426,32.07,west coast,noon,0.73,0.33,6,6,night owl,table tennis,4,senior
425,426,32.3,west coast,noon,1.0,0.24,5,6,night owl,table tennis,4,senior
425,426,40.99,west coast,noon,1.0,0.43,5,6,night owl,table tennis,4,senior
425,426,42.32,west coast,noon,0.97,0.49,5,5,night owl,table tennis,4,senior
425,426,47.55,west coast,evening,1.0,0.37,6,4,night owl,table tennis,4,senior
425,426,30.86,west coast,evening,1.0,0.06,6,3,night owl,table tennis,4,senior
425,426,41.54,west coast,noon,0.96,0.21,5,3,night owl,table tennis,4,senior
425,426,34.12,west coast,morning,1.0,0.5700000000000001,6,2,night owl,table tennis,4,senior
425,426,29.43,west coast,noon,0.94,0.26,5,2,night owl,table tennis,4,senior
