,student label,game score,coast,game scheduled,percent training sessions attended,overall fitness score,# extra strategy sessions attended,hours of sleep the night before game,early bird/night owl,previous competitive sports,# meals on day prior to game,university year
72,73,14.41,east coast,evening,0.48,0.49,5,4,night owl,table tennis,4,sophomore
72,73,37.58,east coast,morning,0.34,0.96,8,4,night owl,table tennis,4,sophomore
72,73,49.09,east coast,noon,0.44,1.0,8,3,night owl,table tennis,4,sophomore
72,73,59.45,east coast,evening,0.64,0.98,7,2,night owl,table tennis,4,sophomore
72,73,54.55,east coast,noon,0.52,1.0,7,3,night owl,table tennis,4,sophomore
72,73,21.17,west coast,noon,0.21,0.95,7,3,night owl,table tennis,4,sophomore
72,73,21.75,west coast,noon,0.0,0.73,7,2,night owl,table tennis,4,sophomore
72,73,9.2,west coast,noon,0.05,0.39,6,2,night owl,table tennis,4,sophomore
72,73,14.18,west coast,noon,0.06,0.58,7,2,night owl,table tennis,4,sophomore
72,73,17.14,west coast,noon,0.21,0.86,5,0,night owl,table tennis,4,sophomore
