,student label,score,coast,game_scheduled,percent_training_seshes,fitness_score,extra_strategy_sessions_attended,hours_of_sleep,early_late,previous_sport,meals,university_year
130,131,26.09,east coast,noon,0.11,0.61,4,9,night owl,basketball,3,junior
130,131,29.48,east coast,morning,0.33,0.67,5,9,night owl,basketball,3,junior
130,131,38.97,east coast,morning,0.56,0.64,5,8,night owl,basketball,3,junior
130,131,52.66,east coast,noon,0.81,0.6900000000000001,6,7,night owl,basketball,3,junior
130,131,65.69,east coast,noon,0.89,0.86,5,9,night owl,basketball,3,junior
130,131,75.64,west coast,noon,0.98,1.0,4,8,night owl,basketball,3,junior
130,131,74.58,west coast,evening,0.96,0.96,4,9,night owl,basketball,3,junior
130,131,69.35000000000001,west coast,evening,1.0,0.87,4,10,night owl,basketball,3,junior
130,131,70.93,west coast,noon,1.0,1.0,5,10,night owl,basketball,3,junior
130,131,73.17,west coast,noon,1.0,0.99,5,10,night owl,basketball,3,junior
