,student label,game score,coast,game scheduled,percent training sessions attended,overall fitness score,# extra strategy sessions attended,hours of sleep the night before game,early bird/night owl,previous competitive sports,# meals on day prior to game,university year
174,175,11.06,east coast,evening,0.46,0.11,6,1,early bird,football,4,sophomore
174,175,30.06,east coast,noon,0.04,0.0,6,1,early bird,football,4,sophomore
174,175,0.0,east coast,noon,0.21,0.0,5,1,early bird,football,4,sophomore
174,175,4.37,east coast,noon,0.31,0.05,5,1,early bird,football,4,sophomore
174,175,16.490000000000002,east coast,noon,0.26,0.39,5,0,early bird,football,4,sophomore
174,175,33.52,west coast,morning,0.63,0.0,4,2,early bird,football,4,sophomore
174,175,4.67,west coast,noon,0.41,0.0,4,2,early bird,football,4,sophomore
174,175,18.08,west coast,noon,0.54,0.13,3,1,early bird,football,4,sophomore
174,175,21.21,west coast,noon,0.44,0.09,2,2,early bird,football,4,sophomore
174,175,0.0,west coast,noon,0.3,0.18,3,2,early bird,football,4,sophomore
