,student label,score,coast,game scheduled,percent_training_seshes,fitness_score,extra_strategy_sessions_attended,hours_of_sleep,early bird/night owl,previous competitive sports,meals,university year
96,97,52.01,east coast,morning,0.93,0.46,6,2,night owl,martial arts,4,frosh
96,97,57.1,east coast,evening,0.97,0.32,7,3,night owl,martial arts,4,frosh
96,97,61.3,east coast,evening,0.91,0.86,7,2,night owl,martial arts,4,frosh
96,97,48.93,east coast,evening,0.87,0.63,7,1,night owl,martial arts,4,frosh
96,97,36.56,east coast,noon,0.98,0.07,8,2,night owl,martial arts,4,frosh
96,97,48.63,west coast,morning,0.92,0.1,9,3,night owl,martial arts,4,frosh
96,97,23.85,west coast,noon,1.0,0.0,8,2,night owl,martial arts,4,frosh
96,97,46.25,west coast,evening,1.0,0.0,7,3,night owl,martial arts,4,frosh
96,97,38.25,west coast,morning,1.0,0.0,7,2,night owl,martial arts,4,frosh
96,97,32.18,west coast,noon,0.92,0.0,6,3,night owl,martial arts,4,frosh
