,student label,score,coast,game_scheduled,percent_training_seshes,fitness_score,extra_strategy_sessions_attended,hours_of_sleep,early_late,previous_sport,meals,university_year
26,27,59.75,east coast,evening,0.6,0.51,9,1,night owl,martial arts,2,junior
26,27,36.69,east coast,noon,0.54,0.5,10,1,night owl,martial arts,2,junior
26,27,54.69,east coast,noon,0.81,0.56,10,0,night owl,martial arts,2,junior
26,27,36.09,east coast,noon,1.0,0.0,9,0,night owl,martial arts,2,junior
26,27,40.36,east coast,noon,0.97,0.1,8,0,night owl,martial arts,2,junior
26,27,45.93,west coast,noon,0.97,0.0,8,0,night owl,martial arts,2,junior
26,27,45.18,west coast,noon,0.84,0.02,9,1,night owl,martial arts,2,junior
26,27,53.04,west coast,evening,1.0,0.0,10,1,night owl,martial arts,2,junior
26,27,45.25,west coast,noon,1.0,0.02,10,1,night owl,martial arts,2,junior
26,27,61.49,west coast,evening,0.97,0.0,10,0,night owl,martial arts,2,junior
