,student label,game score,coast,game scheduled,percent training sessions attended,overall fitness score,# extra strategy sessions attended,hours of sleep the night before game,early bird/night owl,previous competitive sports,# meals on day prior to game,university year
189,190,40.19,east coast,noon,0.86,0.78,6,9,night owl,curling,6,junior
189,190,71.60000000000001,east coast,noon,1.0,1.0,7,10,night owl,curling,6,junior
189,190,73.01,east coast,noon,1.0,1.0,9,11,night owl,curling,6,junior
189,190,70.35000000000001,east coast,noon,0.96,1.0,8,11,night owl,curling,6,junior
189,190,81.71000000000001,east coast,evening,1.0,1.0,8,11,night owl,curling,6,junior
189,190,73.81,west coast,noon,1.0,0.88,10,11,night owl,curling,6,junior
189,190,80.63,west coast,evening,1.0,0.97,10,10,night owl,curling,6,junior
189,190,76.7,west coast,noon,1.0,1.0,10,12,night owl,curling,6,junior
189,190,63.49,west coast,noon,0.94,0.88,10,12,night owl,curling,6,junior
189,190,61.66,west coast,evening,0.93,0.84,8,10,night owl,curling,6,junior
