,student label,score,coast,game scheduled,percent_training_seshes,fitness_score,extra_strategy_sessions_attended,hours_of_sleep,early bird/night owl,previous competitive sports,meals,university year
676,677,56.76,west coast,evening,0.86,0.39,10,10,early bird,table tennis,3,sophomore
676,677,34.160000000000004,west coast,noon,0.41,0.43,9,9,early bird,table tennis,3,sophomore
676,677,31.49,west coast,evening,0.21,0.36,8,11,early bird,table tennis,3,sophomore
676,677,22.26,west coast,noon,0.31,0.33,9,11,early bird,table tennis,3,sophomore
676,677,18.26,west coast,noon,0.15,0.18,10,11,early bird,table tennis,3,sophomore
676,677,14.74,west coast,noon,0.02,0.0,9,9,early bird,table tennis,3,sophomore
676,677,26.11,west coast,noon,0.17,0.03,8,10,early bird,table tennis,3,sophomore
676,677,9.17,west coast,evening,0.08,0.0,7,8,early bird,table tennis,3,junior
676,677,22.31,west coast,noon,0.22,0.06,8,9,early bird,table tennis,3,junior
676,677,16.97,west coast,noon,0.38,0.26,7,10,early bird,table tennis,3,junior
