,student label,score,coast,game scheduled,percent_training_seshes,fitness_score,extra_strategy_sessions_attended,hours_of_sleep,early bird/night owl,previous competitive sports,meals,university year
773,774,49.15,west coast,evening,0.44,0.95,1,9,night owl,martial arts,4,junior
773,774,41.49,west coast,noon,0.0,1.0,2,7,night owl,martial arts,4,junior
773,774,19.06,west coast,noon,0.0,1.0,2,6,night owl,martial arts,4,junior
773,774,10.36,west coast,morning,0.0,0.8,2,5,night owl,martial arts,4,junior
773,774,30.01,west coast,evening,0.0,1.0,2,4,night owl,martial arts,4,junior
773,774,35.93,west coast,morning,0.16,1.0,2,6,night owl,martial arts,4,junior
773,774,43.09,west coast,noon,0.15,0.97,4,5,night owl,martial arts,4,junior
773,774,45.25,west coast,noon,0.7000000000000001,0.81,4,6,night owl,martial arts,4,junior
773,774,51.8,west coast,noon,0.52,1.0,3,4,night owl,martial arts,4,junior
773,774,25.99,west coast,noon,0.18,0.87,4,3,night owl,martial arts,4,junior
