,student label,score,coast,game scheduled,percent_training_seshes,fitness_score,extra_strategy_sessions_attended,hours_of_sleep,early bird/night owl,previous competitive sports,meals,university year
155,156,43.68,east coast,evening,0.91,0.08,10,9,night owl,baseball,3,junior
155,156,46.54,east coast,noon,1.0,0.0,10,10,night owl,baseball,3,junior
155,156,43.73,east coast,noon,0.89,0.0,10,9,night owl,baseball,3,junior
155,156,39.08,east coast,noon,0.99,0.0,10,9,night owl,baseball,3,junior
155,156,52.26,east coast,noon,0.96,0.01,10,9,night owl,baseball,3,junior
155,156,38.51,west coast,noon,0.71,0.0,8,9,night owl,baseball,3,junior
155,156,39.55,west coast,noon,0.5700000000000001,0.0,7,11,night owl,baseball,3,junior
155,156,30.3,west coast,noon,0.66,0.0,7,10,night owl,baseball,3,senior
155,156,39.86,west coast,noon,0.97,0.0,6,9,night owl,baseball,3,senior
155,156,49.21,west coast,morning,0.94,0.0,6,8,night owl,baseball,3,senior
