,student label,game score,coast,game scheduled,percent training sessions attended,overall fitness score,# extra strategy sessions attended,hours of sleep the night before game,early bird/night owl,previous competitive sports,# meals on day prior to game,university year
618,619,41.57,west coast,morning,0.71,0.36,5,5,night owl,baseball,5,junior
618,619,59.88,west coast,evening,1.0,0.55,6,5,night owl,baseball,5,junior
618,619,61.5,west coast,noon,0.86,0.84,5,5,night owl,baseball,5,junior
618,619,48.16,west coast,noon,0.92,0.45,7,5,night owl,baseball,5,junior
618,619,35.25,west coast,noon,0.92,0.0,7,5,night owl,baseball,5,junior
618,619,30.5,west coast,noon,0.5,0.06,6,6,night owl,baseball,5,junior
618,619,34.92,west coast,noon,0.91,0.02,6,7,night owl,baseball,5,junior
618,619,32.49,west coast,noon,0.79,0.13,6,7,night owl,baseball,5,junior
618,619,19.55,west coast,noon,0.42,0.0,7,6,night owl,baseball,5,junior
618,619,14.9,west coast,noon,0.17,0.05,8,5,night owl,baseball,5,junior
