,student label,score,coast,game_scheduled,percent_training_seshes,fitness_score,extra_strategy_sessions_attended,hours_of_sleep,early_late,previous_sport,meals,university_year
798,799,24.0,west coast,evening,0.23,0.45,6,4,night owl,table tennis,2,junior
798,799,30.82,west coast,noon,0.09,0.94,7,4,night owl,table tennis,2,junior
798,799,44.69,west coast,noon,0.03,1.0,7,4,night owl,table tennis,2,junior
798,799,38.26,west coast,noon,0.0,1.0,7,3,night owl,table tennis,2,junior
798,799,22.14,west coast,morning,0.02,1.0,7,3,night owl,table tennis,2,junior
798,799,39.83,west coast,noon,0.19,0.97,8,4,night owl,table tennis,2,junior
798,799,26.69,west coast,noon,0.01,0.96,7,6,night owl,table tennis,2,junior
798,799,30.29,west coast,morning,0.0,1.0,6,6,night owl,table tennis,2,junior
798,799,40.46,west coast,evening,0.0,0.9,6,7,night owl,table tennis,2,junior
798,799,17.81,west coast,noon,0.0,0.79,6,7,night owl,table tennis,2,junior
