,student label,game score,coast,game scheduled,percent training sessions attended,overall fitness score,# extra strategy sessions attended,hours of sleep the night before game,early bird/night owl,previous competitive sports,# meals on day prior to game,university year
730,731,40.65,west coast,morning,0.18,0.6,2,1,night owl,basketball,2,frosh
730,731,26.99,west coast,noon,0.05,0.18,2,0,night owl,basketball,2,frosh
730,731,7.58,west coast,noon,0.33,0.35,3,3,night owl,basketball,2,frosh
730,731,16.26,west coast,noon,0.45,0.14,2,3,night owl,basketball,2,frosh
730,731,24.07,west coast,noon,0.55,0.14,2,3,night owl,basketball,2,frosh
730,731,30.31,west coast,noon,0.76,0.17,2,4,night owl,basketball,2,frosh
730,731,56.05,west coast,evening,0.99,0.54,2,5,night owl,basketball,2,frosh
730,731,32.31,west coast,noon,1.0,0.05,2,5,night owl,basketball,2,frosh
730,731,42.98,west coast,evening,0.78,0.21,3,5,night owl,basketball,2,frosh
730,731,12.68,west coast,morning,0.45,0.28,3,6,night owl,basketball,2,frosh
