,student label,game score,coast,game scheduled,percent training sessions attended,overall fitness score,# extra strategy sessions attended,hours of sleep the night before game,early bird/night owl,previous competitive sports,# meals on day prior to game,university year
576,577,44.08,west coast,evening,0.32,0.87,6,11,night owl,basketball,3,sophomore
576,577,69.75,west coast,evening,0.5700000000000001,1.0,6,12,night owl,basketball,3,sophomore
576,577,40.9,west coast,noon,0.0,1.0,5,12,night owl,basketball,3,sophomore
576,577,26.41,west coast,noon,0.0,1.0,6,12,night owl,basketball,3,sophomore
576,577,43.06,west coast,noon,0.26,0.97,5,12,night owl,basketball,3,sophomore
576,577,35.24,west coast,morning,0.18,1.0,4,12,night owl,basketball,3,junior
576,577,48.97,west coast,noon,0.31,0.98,6,12,night owl,basketball,3,junior
576,577,47.75,west coast,noon,0.14,0.86,6,10,night owl,basketball,3,junior
576,577,34.22,west coast,noon,0.0,0.84,8,10,night owl,basketball,3,junior
576,577,30.53,west coast,noon,0.04,0.77,7,9,night owl,basketball,3,junior
