,student label,score,coast,game_scheduled,percent_training_seshes,fitness_score,extra_strategy_sessions_attended,hours_of_sleep,early_late,previous_sport,meals,university_year
888,889,75.86,west coast,evening,0.98,0.67,10,6,night owl,frisbee,4,junior
888,889,66.22,west coast,noon,0.86,0.78,10,5,night owl,frisbee,4,junior
888,889,65.09,west coast,noon,0.64,0.9,10,4,night owl,frisbee,4,junior
888,889,79.47,west coast,evening,0.58,1.0,10,6,night owl,frisbee,4,junior
888,889,51.45,west coast,noon,0.3,1.0,9,6,night owl,frisbee,4,junior
888,889,45.46,west coast,noon,0.34,1.0,7,5,night owl,frisbee,4,junior
888,889,41.53,west coast,evening,0.02,0.96,7,6,night owl,frisbee,4,junior
888,889,16.78,west coast,noon,0.0,0.88,6,6,night owl,frisbee,4,junior
888,889,32.38,west coast,evening,0.0,0.8300000000000001,4,6,night owl,frisbee,4,junior
888,889,0.0,west coast,noon,0.06,0.4,5,4,night owl,frisbee,4,junior
