,student label,score,coast,game scheduled,percent_training_seshes,fitness_score,extra_strategy_sessions_attended,hours_of_sleep,early bird/night owl,previous competitive sports,meals,university year
66,67,30.57,east coast,morning,0.36,0.27,2,3,night owl,football,6,frosh
66,67,38.13,east coast,noon,0.24,0.32,2,2,night owl,football,6,frosh
66,67,98.03,east coast,noon,0.0,0.29,1,1,night owl,football,6,frosh
66,67,48.82,east coast,noon,0.0,0.52,0,2,night owl,football,6,frosh
66,67,8.69,east coast,noon,0.05,0.93,1,1,night owl,football,6,frosh
66,67,19.04,west coast,morning,0.01,0.94,2,0,night owl,football,6,frosh
66,67,0.0,west coast,noon,0.01,0.86,1,0,night owl,football,6,sophomore
66,67,11.68,west coast,noon,0.0,1.0,0,1,night owl,football,6,sophomore
66,67,29.74,west coast,noon,0.05,1.0,1,0,night owl,football,6,sophomore
66,67,14.45,west coast,noon,0.12,0.8,1,1,night owl,football,6,sophomore
