,student label,score,coast,game scheduled,percent_training_seshes,fitness_score,extra_strategy_sessions_attended,hours_of_sleep,early bird/night owl,previous competitive sports,meals,university year
206,207,45.57,east coast,evening,0.75,0.03,9,7,night owl,gymnastics,6,frosh
206,207,39.85,east coast,noon,0.8200000000000001,0.11,9,8,night owl,gymnastics,6,frosh
206,207,41.38,east coast,noon,1.0,0.18,7,6,night owl,gymnastics,6,frosh
206,207,22.0,east coast,morning,0.87,0.0,7,6,night owl,gymnastics,6,frosh
206,207,22.12,east coast,noon,1.0,0.1,6,5,night owl,gymnastics,6,frosh
206,207,34.95,west coast,evening,0.87,0.0,7,4,night owl,gymnastics,6,frosh
206,207,21.97,west coast,noon,1.0,0.04,7,5,night owl,gymnastics,6,frosh
206,207,18.46,west coast,noon,1.0,0.04,7,6,night owl,gymnastics,6,frosh
206,207,21.06,west coast,noon,1.0,0.07,6,6,night owl,gymnastics,6,frosh
206,207,32.03,west coast,evening,0.98,0.0,7,6,night owl,gymnastics,6,frosh
