,student label,score,coast,game scheduled,percent_training_seshes,fitness_score,extra_strategy_sessions_attended,hours_of_sleep,early bird/night owl,previous competitive sports,meals,university year
134,135,47.7,east coast,noon,0.81,0.34,10,8,night owl,baseball,4,sophomore
134,135,32.87,east coast,morning,0.8300000000000001,0.0,10,9,night owl,baseball,4,sophomore
134,135,30.23,east coast,morning,1.0,0.04,9,11,night owl,baseball,4,sophomore
134,135,38.34,east coast,noon,1.0,0.0,9,11,night owl,baseball,4,sophomore
134,135,39.88,east coast,noon,0.9,0.15,9,11,night owl,baseball,4,sophomore
134,135,44.94,west coast,noon,1.0,0.03,8,10,night owl,baseball,4,sophomore
134,135,40.27,west coast,evening,0.84,0.25,6,11,night owl,baseball,4,sophomore
134,135,41.87,west coast,evening,1.0,0.04,8,10,night owl,baseball,4,sophomore
134,135,34.69,west coast,noon,0.89,0.24,8,10,night owl,baseball,4,sophomore
134,135,32.44,west coast,noon,0.65,0.0,8,9,night owl,baseball,4,sophomore
