,student label,score,coast,game scheduled,percent_training_seshes,fitness_score,extra_strategy_sessions_attended,hours_of_sleep,early bird/night owl,previous competitive sports,meals,university year
977,978,15.33,west coast,evening,0.13,0.26,1,4,night owl,table tennis,5,sophomore
977,978,2.07,west coast,noon,0.16,0.64,2,4,night owl,table tennis,5,sophomore
977,978,30.71,west coast,noon,0.0,1.0,4,3,night owl,table tennis,5,sophomore
977,978,19.09,west coast,noon,0.0,0.92,6,6,night owl,table tennis,5,sophomore
977,978,38.56,west coast,noon,0.15,0.88,8,6,night owl,table tennis,5,sophomore
977,978,33.08,west coast,noon,0.14,0.99,8,6,night owl,table tennis,5,sophomore
977,978,31.21,west coast,noon,0.09,1.0,8,8,night owl,table tennis,5,sophomore
977,978,33.51,west coast,morning,0.0,1.0,6,9,night owl,table tennis,5,sophomore
977,978,15.95,west coast,noon,0.06,0.94,6,7,night owl,table tennis,5,sophomore
977,978,12.56,west coast,noon,0.05,1.0,5,9,night owl,table tennis,5,sophomore
