,student label,game score,coast,game scheduled,percent training sessions attended,overall fitness score,# extra strategy sessions attended,hours of sleep the night before game,early bird/night owl,previous competitive sports,# meals on day prior to game,university year
315,316,41.97,west coast,noon,0.55,0.19,5,2,night owl,football,4,sophomore
315,316,25.18,west coast,noon,0.8,0.11,5,4,night owl,football,4,sophomore
315,316,15.83,west coast,noon,0.62,0.0,6,5,night owl,football,4,sophomore
315,316,18.4,west coast,noon,0.48,0.0,5,5,night owl,football,4,sophomore
315,316,19.6,west coast,evening,0.41,0.0,5,5,night owl,football,4,sophomore
315,316,17.41,west coast,noon,0.0,0.02,5,6,night owl,football,4,sophomore
315,316,17.06,west coast,noon,0.08,0.08,5,6,night owl,football,4,sophomore
315,316,26.49,west coast,evening,0.25,0.15,6,5,night owl,football,4,sophomore
315,316,29.31,west coast,noon,0.39,0.16,5,4,night owl,football,4,sophomore
315,316,4.9,west coast,evening,0.32,0.46,5,4,night owl,football,4,sophomore
