,student label,score,coast,game_scheduled,percent_training_seshes,fitness_score,extra_strategy_sessions_attended,hours_of_sleep,early_late,previous_sport,meals,university_year
657,658,50.2,west coast,evening,0.28,0.2,4,4,night owl,baseball,5,frosh
657,658,35.69,west coast,noon,0.34,0.22,4,3,night owl,baseball,5,frosh
657,658,10.74,west coast,noon,0.49,0.06,3,3,night owl,baseball,5,frosh
657,658,27.06,west coast,noon,0.4,0.05,1,4,night owl,baseball,5,frosh
657,658,33.660000000000004,west coast,noon,0.15,0.05,2,5,night owl,baseball,5,frosh
657,658,14.22,west coast,noon,0.17,0.1,2,5,night owl,baseball,5,frosh
657,658,19.76,west coast,noon,0.28,0.05,2,6,night owl,baseball,5,frosh
657,658,29.57,west coast,noon,0.39,0.3,1,6,night owl,baseball,5,frosh
657,658,26.83,west coast,evening,0.0,0.41,3,7,night owl,baseball,5,frosh
657,658,23.15,west coast,noon,0.1,0.0,1,9,night owl,baseball,5,frosh
