,student label,score,coast,game scheduled,percent_training_seshes,fitness_score,extra_strategy_sessions_attended,hours_of_sleep,early bird/night owl,previous competitive sports,meals,university year
750,751,47.62,west coast,evening,0.14,0.6,5,9,night owl,martial arts,1,junior
750,751,23.41,west coast,noon,0.34,0.52,5,9,night owl,martial arts,1,junior
750,751,25.86,west coast,noon,0.03,0.0,6,9,night owl,martial arts,1,junior
750,751,36.48,west coast,noon,0.07,0.11,7,7,night owl,martial arts,1,junior
750,751,43.25,west coast,evening,0.14,0.19,6,8,night owl,martial arts,1,junior
750,751,28.57,west coast,noon,0.0,0.12,6,9,night owl,martial arts,1,junior
750,751,5.45,west coast,noon,0.11,0.0,5,8,night owl,martial arts,1,junior
750,751,36.37,west coast,morning,0.5,0.08,5,9,night owl,martial arts,1,junior
750,751,39.98,west coast,noon,0.6900000000000001,0.25,4,11,night owl,martial arts,1,junior
750,751,50.620000000000005,west coast,evening,0.72,0.0,5,9,night owl,martial arts,1,junior
