,student label,score,coast,game scheduled,percent_training_seshes,fitness_score,extra_strategy_sessions_attended,hours_of_sleep,early bird/night owl,previous competitive sports,meals,university year
825,826,25.36,west coast,morning,0.44,0.2,5,8,night owl,baseball,3,sophomore
825,826,0.0,west coast,morning,0.0,0.38,5,8,night owl,baseball,3,sophomore
825,826,30.42,west coast,noon,0.05,0.85,5,8,night owl,baseball,3,sophomore
825,826,23.3,west coast,noon,0.01,0.86,6,7,night owl,baseball,3,sophomore
825,826,34.82,west coast,noon,0.0,0.5700000000000001,8,7,night owl,baseball,3,sophomore
825,826,22.07,west coast,noon,0.0,0.68,8,7,night owl,baseball,3,sophomore
825,826,39.47,west coast,noon,0.0,0.81,9,6,night owl,baseball,3,sophomore
825,826,43.43,west coast,noon,0.0,0.6900000000000001,10,7,night owl,baseball,3,sophomore
825,826,23.07,west coast,morning,0.0,0.62,9,7,night owl,baseball,3,sophomore
825,826,16.82,west coast,noon,0.1,0.54,8,7,night owl,baseball,3,sophomore
