,student label,score,coast,game scheduled,percent_training_seshes,fitness_score,extra_strategy_sessions_attended,hours_of_sleep,early bird/night owl,previous competitive sports,meals,university year
539,540,60.78,west coast,morning,0.86,0.86,7,11,night owl,football,4,senior
539,540,54.01,west coast,evening,0.5700000000000001,0.89,9,10,night owl,football,4,senior
539,540,29.58,west coast,noon,0.35,0.7000000000000001,7,10,night owl,football,4,senior
539,540,51.39,west coast,morning,0.92,0.5700000000000001,8,10,night owl,football,4,senior
539,540,47.83,west coast,noon,1.0,0.0,7,11,night owl,football,4,senior
539,540,26.68,west coast,morning,1.0,0.0,6,11,night owl,football,4,senior
539,540,25.74,west coast,noon,1.0,0.0,5,11,night owl,football,4,senior
539,540,23.3,west coast,noon,1.0,0.02,6,9,night owl,football,4,senior
539,540,32.35,west coast,noon,1.0,0.02,8,10,night owl,football,4,senior
539,540,32.09,west coast,evening,1.0,0.0,7,11,night owl,football,4,senior
