,student label,game score,coast,game scheduled,percent training sessions attended,overall fitness score,# extra strategy sessions attended,hours of sleep the night before game,early bird/night owl,previous competitive sports,# meals on day prior to game,university year
584,585,10.98,west coast,noon,0.07,0.28,1,5,night owl,table tennis,5,frosh
584,585,1.72,west coast,noon,0.03,0.87,2,6,night owl,table tennis,5,frosh
584,585,11.4,west coast,noon,0.0,0.39,2,6,night owl,table tennis,5,frosh
584,585,13.83,west coast,noon,0.0,0.41,2,6,night owl,table tennis,5,frosh
584,585,34.64,west coast,noon,0.28,0.38,4,6,night owl,table tennis,5,frosh
584,585,27.18,west coast,noon,0.64,0.36,5,6,night owl,table tennis,5,frosh
584,585,35.300000000000004,west coast,morning,0.96,0.03,4,8,night owl,table tennis,5,frosh
584,585,24.49,west coast,noon,1.0,0.0,2,7,night owl,table tennis,5,frosh
584,585,22.15,west coast,morning,1.0,0.0,2,6,night owl,table tennis,5,frosh
584,585,31.59,west coast,noon,0.84,0.0,2,5,night owl,table tennis,5,frosh
