,student label,score,coast,game_scheduled,percent_training_seshes,fitness_score,extra_strategy_sessions_attended,hours_of_sleep,early_late,previous_sport,meals,university_year
335,336,40.78,west coast,noon,0.44,0.53,8,11,night owl,curling,2,sophomore
335,336,40.51,west coast,evening,0.03,0.11,7,12,night owl,curling,2,sophomore
335,336,25.02,west coast,morning,0.03,0.0,6,11,night owl,curling,2,sophomore
335,336,38.85,west coast,noon,0.0,0.07,6,11,night owl,curling,2,sophomore
335,336,0.0,west coast,noon,0.12,0.05,5,11,night owl,curling,2,sophomore
335,336,5.4,west coast,noon,0.43,0.06,5,12,night owl,curling,2,sophomore
335,336,0.88,west coast,noon,0.02,0.15,4,12,night owl,curling,2,sophomore
335,336,8.620000000000001,west coast,noon,0.08,0.13,4,12,night owl,curling,2,sophomore
335,336,4.08,west coast,noon,0.0,0.0,4,12,night owl,curling,2,sophomore
335,336,24.9,west coast,noon,0.0,0.06,5,11,night owl,curling,2,sophomore
