,student label,game score,coast,game scheduled,percent training sessions attended,overall fitness score,# extra strategy sessions attended,hours of sleep the night before game,early bird/night owl,previous competitive sports,# meals on day prior to game,university year
144,145,35.03,east coast,evening,0.35,0.32,5,10,night owl,baseball,3,junior
144,145,15.91,east coast,noon,0.49,0.47,4,10,night owl,baseball,3,junior
144,145,41.94,east coast,evening,0.55,0.73,3,11,night owl,baseball,3,senior
144,145,51.620000000000005,east coast,noon,0.6900000000000001,0.95,1,12,night owl,baseball,3,senior
144,145,50.7,east coast,noon,0.72,0.78,2,11,night owl,baseball,3,senior
144,145,56.14,west coast,noon,0.59,1.0,3,10,night owl,baseball,3,senior
144,145,59.17,west coast,morning,0.54,0.98,6,9,night owl,baseball,3,senior
144,145,33.64,west coast,noon,0.05,1.0,6,10,night owl,baseball,3,senior
144,145,12.09,west coast,morning,0.01,0.95,5,10,night owl,baseball,3,senior
144,145,54.41,west coast,noon,0.06,1.0,5,10,night owl,baseball,3,senior
