,student label,game score,coast,game scheduled,percent training sessions attended,overall fitness score,# extra strategy sessions attended,hours of sleep the night before game,early bird/night owl,previous competitive sports,# meals on day prior to game,university year
735,736,40.12,west coast,morning,0.17,0.05,9,6,night owl,table tennis,3,frosh
735,736,7.08,west coast,noon,0.0,0.0,8,7,night owl,table tennis,3,frosh
735,736,12.52,west coast,noon,0.0,0.0,9,8,night owl,table tennis,3,frosh
735,736,16.86,west coast,noon,0.0,0.19,9,7,night owl,table tennis,3,frosh
735,736,22.05,west coast,noon,0.0,0.29,10,6,night owl,table tennis,3,frosh
735,736,37.28,west coast,noon,0.04,0.77,10,6,night owl,table tennis,3,frosh
735,736,51.31,west coast,evening,0.07,1.0,9,7,night owl,table tennis,3,frosh
735,736,31.63,west coast,noon,0.0,0.86,9,8,night owl,table tennis,3,frosh
735,736,48.78,west coast,evening,0.19,0.99,9,8,night owl,table tennis,3,frosh
735,736,30.94,west coast,morning,0.47,0.89,9,9,night owl,table tennis,3,frosh
