,student label,score,coast,game_scheduled,percent_training_seshes,fitness_score,extra_strategy_sessions_attended,hours_of_sleep,early_late,previous_sport,meals,university_year
486,487,59.51,west coast,evening,0.85,0.41,9,8,night owl,curling,6,junior
486,487,43.57,west coast,noon,1.0,0.3,9,9,night owl,curling,6,junior
486,487,36.86,west coast,noon,0.98,0.19,9,8,night owl,curling,6,junior
486,487,46.47,west coast,noon,1.0,0.35,10,8,night owl,curling,6,junior
486,487,36.65,west coast,noon,0.96,0.0,8,6,night owl,curling,6,junior
486,487,35.17,west coast,noon,1.0,0.06,10,6,night owl,curling,6,junior
486,487,42.6,west coast,evening,1.0,0.0,9,6,night owl,curling,6,junior
486,487,24.21,west coast,noon,1.0,0.0,10,7,night owl,curling,6,junior
486,487,38.92,west coast,evening,0.99,0.0,10,7,night owl,curling,6,junior
486,487,47.47,west coast,evening,1.0,0.0,10,8,night owl,curling,6,junior
