,student label,game score,coast,game scheduled,percent training sessions attended,overall fitness score,# extra strategy sessions attended,hours of sleep the night before game,early bird/night owl,previous competitive sports,# meals on day prior to game,university year
506,507,40.03,west coast,morning,0.48,0.2,6,6,early bird,baseball,5,junior
506,507,43.03,west coast,morning,0.74,0.29,5,8,early bird,baseball,5,junior
506,507,37.35,west coast,noon,1.0,0.0,7,8,early bird,baseball,5,junior
506,507,41.8,west coast,noon,0.99,0.01,7,9,early bird,baseball,5,junior
506,507,37.52,west coast,noon,0.96,0.09,7,10,early bird,baseball,5,junior
506,507,19.76,west coast,noon,0.59,0.01,6,10,early bird,baseball,5,junior
506,507,39.57,west coast,noon,0.53,0.0,6,10,early bird,baseball,5,junior
506,507,32.660000000000004,west coast,noon,0.98,0.23,5,10,early bird,baseball,5,junior
506,507,28.04,west coast,noon,0.87,0.03,6,8,early bird,baseball,5,junior
506,507,37.35,west coast,noon,1.0,0.02,5,8,early bird,baseball,5,junior
