,student label,game score,coast,game scheduled,percent training sessions attended,overall fitness score,# extra strategy sessions attended,hours of sleep the night before game,early bird/night owl,previous competitive sports,# meals on day prior to game,university year
420,421,41.07,west coast,evening,0.05,0.4,4,8,night owl,martial arts,1,senior
420,421,25.84,west coast,noon,0.0,0.23,4,9,night owl,martial arts,1,senior
420,421,2.78,west coast,noon,0.02,0.0,3,10,night owl,martial arts,1,senior
420,421,29.75,west coast,noon,0.0,0.13,4,10,night owl,martial arts,1,senior
420,421,24.25,west coast,noon,0.02,0.29,5,11,night owl,martial arts,1,senior
420,421,30.3,west coast,evening,0.15,0.49,4,12,night owl,martial arts,1,senior
420,421,50.56,west coast,evening,0.52,0.59,4,11,night owl,martial arts,1,senior
420,421,62.54,west coast,noon,0.95,0.75,4,12,night owl,martial arts,1,senior
420,421,51.11,west coast,morning,0.88,0.53,3,12,night owl,martial arts,1,senior
420,421,43.77,west coast,noon,0.86,0.06,4,12,night owl,martial arts,1,senior
