,student label,game score,coast,game scheduled,percent training sessions attended,overall fitness score,# extra strategy sessions attended,hours of sleep the night before game,early bird/night owl,previous competitive sports,# meals on day prior to game,university year
229,230,0.0,east coast,evening,0.12,0.15,1,1,night owl,football,5,sophomore
229,230,0.0,east coast,noon,0.08,0.12,1,0,night owl,football,5,sophomore
229,230,0.0,east coast,noon,0.0,0.0,1,0,night owl,football,5,sophomore
229,230,0.0,east coast,noon,0.0,0.02,1,0,night owl,football,5,sophomore
229,230,0.0,east coast,noon,0.06,0.0,2,0,night owl,football,5,sophomore
229,230,70.60000000000001,west coast,noon,0.05,0.2,2,0,night owl,football,5,sophomore
229,230,0.0,west coast,noon,0.0,0.16,2,0,night owl,football,5,sophomore
229,230,0.0,west coast,noon,0.04,0.0,2,0,night owl,football,5,sophomore
229,230,9.33,west coast,noon,0.0,0.12,2,1,night owl,football,5,sophomore
229,230,13.86,west coast,noon,0.0,0.22,1,2,night owl,football,5,sophomore
