,student label,game score,coast,game scheduled,percent training sessions attended,overall fitness score,# extra strategy sessions attended,hours of sleep the night before game,early bird/night owl,previous competitive sports,# meals on day prior to game,university year
754,755,46.53,west coast,evening,0.73,0.12,8,6,night owl,gymnastics,6,junior
754,755,30.18,west coast,noon,0.39,0.13,8,5,night owl,gymnastics,6,junior
754,755,3.31,west coast,noon,0.12,0.13,7,5,night owl,gymnastics,6,junior
754,755,24.89,west coast,noon,0.0,0.0,6,5,night owl,gymnastics,6,junior
754,755,30.0,west coast,evening,0.0,0.02,4,7,night owl,gymnastics,6,junior
754,755,0.0,west coast,noon,0.0,0.12,3,7,night owl,gymnastics,6,junior
754,755,0.0,west coast,noon,0.0,0.0,4,5,night owl,gymnastics,6,junior
754,755,6.71,west coast,morning,0.0,0.0,2,6,night owl,gymnastics,6,junior
754,755,40.41,west coast,noon,0.1,0.0,3,5,night owl,gymnastics,6,junior
754,755,26.51,west coast,evening,0.31,0.0,3,5,night owl,gymnastics,6,junior
