,student label,game score,coast,game scheduled,percent training sessions attended,overall fitness score,# extra strategy sessions attended,hours of sleep the night before game,early bird/night owl,previous competitive sports,# meals on day prior to game,university year
541,542,35.32,west coast,evening,0.48,0.41,6,2,night owl,martial arts,1,junior
541,542,71.78,west coast,noon,0.7000000000000001,1.0,7,3,night owl,martial arts,1,junior
541,542,76.83,west coast,evening,0.53,1.0,8,4,night owl,martial arts,1,junior
541,542,39.34,west coast,noon,0.22,0.85,6,5,night owl,martial arts,1,junior
541,542,52.38,west coast,noon,0.43,0.74,5,5,night owl,martial arts,1,junior
541,542,46.05,west coast,noon,0.61,0.51,5,5,night owl,martial arts,1,junior
541,542,44.69,west coast,noon,0.71,0.16,5,5,night owl,martial arts,1,junior
541,542,58.32,west coast,morning,0.78,0.46,5,5,night owl,martial arts,1,junior
541,542,34.17,west coast,noon,0.99,0.0,5,5,night owl,martial arts,1,junior
541,542,41.76,west coast,noon,1.0,0.09,4,6,night owl,martial arts,1,junior
