,student label,score,coast,game scheduled,percent_training_seshes,fitness_score,extra_strategy_sessions_attended,hours_of_sleep,early bird/night owl,previous competitive sports,meals,university year
474,475,46.62,west coast,morning,0.72,0.71,5,8,night owl,martial arts,4,sophomore
474,475,34.47,west coast,morning,0.85,0.26,4,9,night owl,martial arts,4,sophomore
474,475,39.73,west coast,noon,1.0,0.28,4,9,night owl,martial arts,4,sophomore
474,475,54.79,west coast,evening,1.0,0.58,4,10,night owl,martial arts,4,sophomore
474,475,48.1,west coast,evening,0.97,0.17,3,9,night owl,martial arts,4,sophomore
474,475,38.02,west coast,noon,1.0,0.13,2,8,night owl,martial arts,4,sophomore
474,475,29.14,west coast,noon,1.0,0.01,2,8,night owl,martial arts,4,sophomore
474,475,45.46,west coast,noon,1.0,0.0,3,9,night owl,martial arts,4,sophomore
474,475,41.26,west coast,evening,0.92,0.1,4,8,night owl,martial arts,4,sophomore
474,475,33.54,west coast,noon,0.59,0.24,3,7,night owl,martial arts,4,sophomore
