,student label,score,coast,game_scheduled,percent_training_seshes,fitness_score,extra_strategy_sessions_attended,hours_of_sleep,early_late,previous_sport,meals,university_year
365,366,31.88,west coast,evening,0.34,0.9,2,9,night owl,frisbee,4,junior
365,366,31.98,west coast,noon,0.21,0.99,2,10,night owl,frisbee,4,junior
365,366,39.54,west coast,noon,0.07,1.0,1,10,night owl,frisbee,4,junior
365,366,30.15,west coast,noon,0.0,0.94,1,10,night owl,frisbee,4,junior
365,366,13.96,west coast,morning,0.0,0.97,1,11,night owl,frisbee,4,junior
365,366,33.27,west coast,evening,0.09,0.8200000000000001,2,12,night owl,frisbee,4,junior
365,366,26.23,west coast,noon,0.06,0.81,3,12,night owl,frisbee,4,junior
365,366,48.89,west coast,evening,0.35,0.8200000000000001,5,11,night owl,frisbee,4,junior
365,366,60.48,west coast,evening,0.53,1.0,4,12,night owl,frisbee,4,junior
365,366,51.18,west coast,noon,0.56,0.88,5,12,night owl,frisbee,4,junior
