,student label,score,coast,game scheduled,percent_training_seshes,fitness_score,extra_strategy_sessions_attended,hours_of_sleep,early bird/night owl,previous competitive sports,meals,university year
24,25,64.8,east coast,evening,0.95,0.73,9,10,night owl,football,5,junior
24,25,47.34,east coast,noon,0.87,0.67,8,12,night owl,football,5,junior
24,25,57.16,east coast,noon,1.0,0.81,8,12,night owl,football,5,junior
24,25,69.11,east coast,noon,1.0,0.95,10,12,night owl,football,5,junior
24,25,69.86,east coast,noon,1.0,0.97,9,12,night owl,football,5,junior
24,25,73.21000000000001,west coast,noon,1.0,1.0,9,12,night owl,football,5,junior
24,25,71.48,west coast,noon,1.0,1.0,8,12,night owl,football,5,junior
24,25,81.45,west coast,evening,0.93,1.0,9,10,night owl,football,5,junior
24,25,78.99,west coast,noon,0.99,1.0,8,9,night owl,football,5,junior
24,25,82.31,west coast,evening,1.0,1.0,8,10,night owl,football,5,junior
