,student label,score,coast,game scheduled,percent_training_seshes,fitness_score,extra_strategy_sessions_attended,hours_of_sleep,early bird/night owl,previous competitive sports,meals,university year
540,541,25.85,west coast,evening,0.05,0.58,1,5,night owl,basketball,2,sophomore
540,541,26.05,west coast,noon,0.33,0.42,1,5,night owl,basketball,2,sophomore
540,541,36.25,west coast,evening,0.17,0.45,1,5,night owl,basketball,2,sophomore
540,541,36.16,west coast,noon,0.25,1.0,0,6,night owl,basketball,2,sophomore
540,541,30.89,west coast,noon,0.24,0.97,0,6,night owl,basketball,2,sophomore
540,541,55.66,west coast,noon,0.56,1.0,0,6,night owl,basketball,2,sophomore
540,541,59.88,west coast,noon,0.6,1.0,1,8,night owl,basketball,2,sophomore
540,541,75.83,west coast,morning,0.84,1.0,1,8,night owl,basketball,2,sophomore
540,541,43.93,west coast,noon,0.61,0.87,2,8,night owl,basketball,2,sophomore
540,541,46.62,west coast,noon,0.65,0.64,2,7,night owl,basketball,2,sophomore
