,student label,score,coast,game scheduled,percent_training_seshes,fitness_score,extra_strategy_sessions_attended,hours_of_sleep,early bird/night owl,previous competitive sports,meals,university year
616,617,76.78,west coast,morning,0.99,0.96,8,5,night owl,frisbee,4,senior
616,617,86.29,west coast,evening,0.99,0.96,8,5,night owl,frisbee,4,senior
616,617,78.2,west coast,noon,0.81,1.0,8,4,night owl,frisbee,4,senior
616,617,58.81,west coast,noon,0.46,1.0,8,4,night owl,frisbee,4,senior
616,617,26.77,west coast,noon,0.0,0.79,10,5,night owl,frisbee,4,senior
616,617,31.98,west coast,noon,0.14,0.58,10,5,night owl,frisbee,4,senior
616,617,39.37,west coast,noon,0.28,0.74,10,5,night owl,frisbee,4,senior
616,617,51.6,west coast,noon,0.8200000000000001,0.44,8,6,night owl,frisbee,4,senior
616,617,43.75,west coast,noon,0.74,0.5700000000000001,7,5,night owl,frisbee,4,senior
616,617,60.56,west coast,noon,0.58,1.0,7,5,night owl,frisbee,4,senior
