,student label,score,coast,game_scheduled,percent_training_seshes,fitness_score,extra_strategy_sessions_attended,hours_of_sleep,early_late,previous_sport,meals,university_year
148,149,15.37,east coast,evening,0.14,0.53,3,4,night owl,table tennis,3,frosh
148,149,6.41,east coast,noon,0.61,0.72,3,2,night owl,table tennis,3,frosh
148,149,33.06,east coast,evening,0.58,0.8,3,2,night owl,table tennis,3,frosh
148,149,26.56,east coast,noon,0.51,0.74,4,3,night owl,table tennis,3,frosh
148,149,48.59,east coast,noon,0.5,1.0,3,2,night owl,table tennis,3,frosh
148,149,38.81,west coast,noon,0.52,0.94,2,1,night owl,table tennis,3,frosh
148,149,24.17,west coast,morning,0.5,0.71,2,2,night owl,table tennis,3,frosh
148,149,0.0,west coast,noon,0.24,0.55,1,2,night owl,table tennis,3,frosh
148,149,0.0,west coast,morning,0.19,0.07,1,0,night owl,table tennis,3,frosh
148,149,42.06,west coast,noon,0.26,0.0,1,0,night owl,table tennis,3,frosh
