,student label,game score,coast,game scheduled,percent training sessions attended,overall fitness score,# extra strategy sessions attended,hours of sleep the night before game,early bird/night owl,previous competitive sports,# meals on day prior to game,university year
519,520,25.69,west coast,morning,0.27,0.66,1,3,early bird,table tennis,3,senior
519,520,37.19,west coast,noon,0.6,0.68,0,4,early bird,table tennis,3,senior
519,520,30.13,west coast,noon,0.2,0.64,0,3,early bird,table tennis,3,senior
519,520,31.67,west coast,noon,0.17,0.92,1,2,early bird,table tennis,3,senior
519,520,39.2,west coast,noon,0.45,1.0,3,0,early bird,table tennis,3,senior
519,520,23.18,west coast,noon,0.09,1.0,1,0,early bird,table tennis,3,senior
519,520,20.85,west coast,morning,0.09,1.0,1,0,early bird,table tennis,3,senior
519,520,22.16,west coast,noon,0.07,1.0,1,1,early bird,table tennis,3,senior
519,520,29.58,west coast,noon,0.08,1.0,2,1,early bird,table tennis,3,senior
519,520,16.2,west coast,evening,0.29,0.96,1,1,early bird,table tennis,3,senior
