,student label,game score,coast,game scheduled,percent training sessions attended,overall fitness score,# extra strategy sessions attended,hours of sleep the night before game,early bird/night owl,previous competitive sports,# meals on day prior to game,university year
635,636,20.0,west coast,noon,0.63,0.54,1,0,night owl,table tennis,4,sophomore
635,636,22.68,west coast,morning,0.65,0.18,1,0,night owl,table tennis,4,sophomore
635,636,44.66,west coast,noon,0.85,0.0,1,0,night owl,table tennis,4,sophomore
635,636,12.42,west coast,morning,1.0,0.11,1,0,night owl,table tennis,4,sophomore
635,636,29.79,west coast,evening,0.93,0.5,2,0,night owl,table tennis,4,sophomore
635,636,52.08,west coast,evening,0.97,0.14,2,0,night owl,table tennis,4,sophomore
635,636,42.95,west coast,evening,1.0,0.09,2,0,night owl,table tennis,4,sophomore
635,636,14.06,west coast,noon,0.96,0.36,2,0,night owl,table tennis,4,sophomore
635,636,29.24,west coast,evening,0.96,0.63,2,0,night owl,table tennis,4,sophomore
635,636,22.45,west coast,noon,1.0,0.35,0,2,night owl,table tennis,4,sophomore
