,student label,score,coast,game_scheduled,percent_training_seshes,fitness_score,extra_strategy_sessions_attended,hours_of_sleep,early_late,previous_sport,meals,university_year
346,347,15.45,west coast,evening,0.27,0.4,2,4,night owl,football,4,sophomore
346,347,31.73,west coast,noon,0.62,0.6900000000000001,1,3,night owl,football,4,sophomore
346,347,4.14,west coast,noon,0.0,0.46,0,2,night owl,football,4,sophomore
346,347,14.58,west coast,evening,0.14,0.0,1,3,night owl,football,4,sophomore
346,347,2.23,west coast,noon,0.03,0.0,3,2,night owl,football,4,sophomore
346,347,13.33,west coast,noon,0.0,0.0,4,1,night owl,football,4,sophomore
346,347,0.0,west coast,noon,0.2,0.09,5,2,night owl,football,4,sophomore
346,347,40.03,west coast,evening,0.49,0.13,6,0,night owl,football,4,sophomore
346,347,13.98,west coast,noon,0.0,0.51,6,1,night owl,football,4,sophomore
346,347,54.64,west coast,noon,0.07,0.79,5,1,night owl,football,4,sophomore
