,student label,score,coast,game_scheduled,percent_training_seshes,fitness_score,extra_strategy_sessions_attended,hours_of_sleep,early_late,previous_sport,meals,university_year
932,933,58.18,west coast,evening,0.88,0.77,7,2,night owl,curling,3,junior
932,933,47.56,west coast,noon,0.87,0.8200000000000001,7,0,night owl,curling,3,junior
932,933,71.33,west coast,noon,1.0,1.0,7,1,night owl,curling,3,senior
932,933,55.61,west coast,noon,1.0,0.9,6,1,night owl,curling,3,senior
932,933,58.56,west coast,noon,0.84,1.0,5,1,night owl,curling,3,senior
932,933,50.31,west coast,noon,0.67,1.0,6,1,night owl,curling,3,senior
932,933,58.23,west coast,noon,0.88,1.0,4,2,night owl,curling,3,senior
932,933,55.68,west coast,noon,1.0,0.8300000000000001,5,3,night owl,curling,3,senior
932,933,46.4,west coast,noon,1.0,0.6,5,4,night owl,curling,3,senior
932,933,45.61,west coast,noon,1.0,0.48,5,5,night owl,curling,3,senior
