,student label,score,coast,game scheduled,percent_training_seshes,fitness_score,extra_strategy_sessions_attended,hours_of_sleep,early bird/night owl,previous competitive sports,meals,university year
279,280,62.940000000000005,east coast,evening,0.75,0.78,9,10,night owl,frisbee,3,senior
279,280,83.19,east coast,noon,0.8,1.0,10,8,night owl,frisbee,3,senior
279,280,62.22,east coast,noon,0.43,1.0,10,7,night owl,frisbee,3,senior
279,280,55.08,east coast,noon,0.04,1.0,9,7,night owl,frisbee,3,senior
279,280,48.74,east coast,noon,0.03,1.0,9,9,night owl,frisbee,3,senior
279,280,63.17,west coast,evening,0.23,0.97,10,8,night owl,frisbee,3,senior
279,280,51.13,west coast,noon,0.0,1.0,9,7,night owl,frisbee,3,senior
279,280,43.45,west coast,noon,0.0,0.96,9,8,night owl,frisbee,3,senior
279,280,45.87,west coast,morning,0.08,0.84,10,8,night owl,frisbee,3,senior
279,280,20.79,west coast,morning,0.0,0.87,9,9,night owl,frisbee,3,senior
