,student label,score,coast,game_scheduled,percent_training_seshes,fitness_score,extra_strategy_sessions_attended,hours_of_sleep,early_late,previous_sport,meals,university_year
182,183,38.25,east coast,noon,0.49,0.87,6,7,night owl,frisbee,3,senior
182,183,63.34,east coast,noon,0.59,0.99,5,7,night owl,frisbee,3,senior
182,183,26.94,east coast,noon,0.25,0.87,6,7,night owl,frisbee,3,senior
182,183,34.800000000000004,east coast,noon,0.45,0.6900000000000001,7,6,night owl,frisbee,3,senior
182,183,56.38,east coast,evening,0.62,0.79,6,5,night owl,frisbee,3,senior
182,183,60.92,west coast,noon,1.0,0.8300000000000001,5,4,night owl,frisbee,3,senior
182,183,55.21,west coast,evening,0.99,0.59,4,4,night owl,frisbee,3,senior
182,183,60.21,west coast,noon,1.0,0.86,3,4,night owl,frisbee,3,senior
182,183,60.16,west coast,noon,0.81,1.0,1,4,night owl,frisbee,3,senior
182,183,71.46000000000001,west coast,evening,0.77,1.0,2,3,night owl,frisbee,3,senior
