,student label,score,coast,game_scheduled,percent_training_seshes,fitness_score,extra_strategy_sessions_attended,hours_of_sleep,early_late,previous_sport,meals,university_year
368,369,15.5,west coast,evening,0.17,0.25,3,8,night owl,table tennis,5,sophomore
368,369,18.85,west coast,noon,0.8300000000000001,0.31,3,7,night owl,table tennis,5,sophomore
368,369,25.0,west coast,noon,0.8,0.44,2,8,night owl,table tennis,5,sophomore
368,369,52.04,west coast,noon,0.78,0.94,1,9,night owl,table tennis,5,sophomore
368,369,49.03,west coast,morning,0.66,1.0,1,9,night owl,table tennis,5,sophomore
368,369,65.27,west coast,evening,0.8200000000000001,1.0,1,10,night owl,table tennis,5,sophomore
368,369,49.48,west coast,noon,1.0,0.87,2,9,night owl,table tennis,5,sophomore
368,369,54.75,west coast,evening,0.93,0.61,2,8,night owl,table tennis,5,sophomore
368,369,43.64,west coast,evening,1.0,0.51,1,10,night owl,table tennis,5,sophomore
368,369,35.58,west coast,noon,1.0,0.0,2,11,night owl,table tennis,5,sophomore
